iter	Passed	Remaining
400	26185	39114
401	26248	39045
402	26305	38968
403	26359	38886
404	26420	38814
405	26473	38731
406	26542	38672
407	26596	38590
408	26660	38524
409	26717	38446
410	26781	38380
411	26843	38310
412	26900	38234
413	26961	38162
414	27016	38083
415	27082	38020
416	27135	37937
417	27199	37870
418	27257	37796
419	27320	37727
420	27380	37655
421	27443	37589
422	27506	37520
423	27567	37450
424	27634	37387
425	27711	37338
426	27768	37263
427	27822	37183
428	27871	37097
429	27930	37023
430	27992	36955
431	28052	36884
432	28110	36809
433	28166	36733
434	28227	36662
435	28288	36593
436	28346	36519
437	28403	36444
438	28458	36367
439	28517	36295
440	28570	36215
441	28637	36153
442	28703	36089
443	28763	36019
444	28823	35948
445	28888	35884
446	28944	35808
447	29015	35751
448	29069	35672
449	29127	35599
450	29186	35528
451	29243	35454
452	29314	35396
453	29370	35322
454	29425	35245
455	29483	35173
456	29537	35095
457	29592	35019
458	29662	34961
459	29729	34899
460	29789	34829
461	29853	34764
462	29914	34696
463	29990	34644
464	30058	34583
465	30126	34522
466	30180	34445
467	30246	34382
468	30304	34310
469	30372	34250
470	30431	34179
471	30495	34113
472	30556	34044
473	30618	33977
474	30687	33917
475	30754	33855
476	30821	33794
477	30874	33716
478	30941	33654
479	31004	33587
480	31073	33528
481	31136	33462
482	31206	33403
483	31261	33328
484	31325	33263
485	31394	33202
486	31464	33144
487	31539	33090
488	31603	33025
489	31663	32955
490	31718	32881
491	31777	32811
492	31841	32745
493	31897	32672
494	31967	32613
495	32031	32548
496	32084	32471
497	32145	32403
498	32201	32330
499	32257	32257
500	32309	32180
501	32365	32108
502	32423	32036
503	32528	32012
504	32593	31948
505	32659	31885
506	32724	31821
507	32788	31756
508	32841	31679
509	32905	31615
510	32966	31547
511	33033	31484
512	33099	31421
513	33156	31349
514	33212	31277
515	33273	31209
516	33325	31134
517	33385	31065
518	33456	31007
519	33520	30942
520	33580	30873
521	33645	30809
522	33707	30743
523	33767	30674
524	33827	30605
525	33898	30547
526	33952	30473
527	34021	30413
528	34077	30341
529	34140	30275
530	34197	30204
531	34255	30134
532	34316	30067
533	34367	29991
534	34425	29921
535	34485	29852
536	34548	29787
537	34603	29715
538	34662	29646
539	34726	29581
540	34784	29511
541	34841	29441
542	34911	29382
543	34981	29322
544	35038	29252
545	35113	29196
546	35169	29125
547	35230	29059
548	35295	28995
549	35355	28927
550	35424	28866
551	35488	28802
552	35554	28739
553	35611	28669
554	35672	28601
555	35735	28536
556	35803	28475
557	35869	28412
558	35941	28354
559	36021	28302
560	36098	28248
561	36166	28186
562	36247	28135
563	36329	28084
564	36401	28025
565	36476	27969
566	36531	27897
567	36593	27831
568	36657	27766
569	36725	27705
570	36793	27643
571	36848	27572
572	36907	27503
573	36976	27442
574	37032	27372
575	37090	27302
576	37144	27230
577	37205	27163
578	37271	27100
579	37364	27057
580	37424	26989
581	37480	26918
582	37541	26852
583	37603	26786
584	37668	26722
585	37729	26655
586	37809	26602
587	37867	26533
588	37934	26470
589	38005	26410
590	38075	26349
591	38129	26278
592	38194	26214
593	38258	26149
594	38320	26084
595	38378	26014
596	38433	25944
597	38487	25872
598	38544	25803
599	38611	25741
600	38684	25682
601	38752	25620
602	38822	25559
603	38877	25489
604	38932	25419
605	39000	25356
606	39056	25287
607	39121	25223
608	39187	25160
609	39242	25089
610	39310	25027
611	39377	24964
612	39438	24898
613	39499	24831
614	39571	24772
615	39629	24704
616	39687	24635
617	39749	24569
618	39809	24503
619	39866	24434
620	39929	24368
621	39996	24306
622	40063	24243
623	40131	24181
624	40201	24120
625	40262	24054
626	40317	23984
627	40377	23917
628	40439	23851
629	40506	23789
630	40565	23722
631	40629	23657
632	40695	23594
633	40754	23527
634	40822	23464
635	40883	23398
636	40953	23337
637	41020	23275
638	41094	23215
639	41157	23151
640	41224	23088
641	41278	23018
642	41341	22953
643	41407	22889
644	41465	22821
645	41529	22757
646	41585	22688
647	41649	22624
648	41718	22562
649	41784	22499
650	41852	22437
651	41917	22373
652	41980	22307
653	42040	22241
654	42102	22176
655	42163	22110
656	42228	22046
657	42296	21983
658	42360	21919
659	42430	21858
660	42490	21791
661	42556	21727
662	42615	21661
663	42671	21592
664	42734	21527
665	42804	21466
666	42867	21401
667	42937	21340
668	43007	21278
669	43067	21212
670	43130	21147
671	43197	21084
672	43256	21017
673	43323	20954
674	43384	20888
675	43445	20822
676	43512	20759
677	43566	20690
678	43626	20624
679	43685	20558
680	43742	20490
681	43802	20423
682	43864	20358
683	43926	20293
684	43984	20226
685	44050	20163
686	44103	20093
687	44157	20025
688	44216	19958
689	44281	19894
690	44339	19827
691	44404	19764
692	44464	19697
693	44527	19633
694	44583	19565
695	44643	19499
696	44707	19435
697	44774	19372
698	44839	19308
699	44895	19240
700	44955	19174
701	45020	19111
702	45080	19045
703	45135	18977
704	45188	18908
705	45246	18842
706	45300	18773
707	45369	18711
708	45425	18644
709	45484	18577
710	45546	18513
711	45603	18446
712	45659	18378
713	45735	18319
714	45794	18253
715	45863	18191
716	45928	18128
717	45998	18066
718	46054	17999
719	46116	17934
720	46184	17871
721	46248	17807
722	46306	17741
723	46369	17676
724	46429	17611
725	46491	17546
726	46547	17479
727	46609	17414
728	46672	17350
729	46729	17283
730	46793	17219
731	46855	17154
732	46916	17089
733	46977	17024
734	47044	16961
735	47105	16896
736	47161	16829
737	47220	16763
738	47282	16699
739	47336	16631
740	47390	16564
741	47443	16496
742	47496	16428
743	47549	16361
744	47603	16293
745	47664	16228
746	47724	16163
747	47781	16097
748	47839	16031
749	47901	15967
750	47972	15905
751	48034	15841
752	48104	15779
753	48167	15715
754	48223	15648
755	48291	15586
756	48352	15521
757	48417	15457
758	48491	15397
759	48557	15333
760	48616	15268
761	48672	15202
762	48724	15134
763	48781	15068
764	48837	15002
765	48899	14937
766	48968	14875
767	49026	14810
768	49089	14746
769	49150	14681
770	49213	14617
771	49268	14550
772	49326	14485
773	49383	14419
774	49453	14357
775	49524	14295
776	49591	14232
777	49646	14166
778	49712	14103
779	49775	14039
780	49836	13974
781	49903	13911
782	49964	13847
783	50025	13782
784	50096	13720
785	50161	13657
786	50218	13591
787	50282	13527
788	50345	13463
789	50403	13398
790	50466	13334
791	50537	13272
792	50605	13209
793	50658	13143
794	50722	13079
795	50787	13015
796	50851	12952
797	50914	12888
798	50982	12825
799	51057	12764
800	51122	12700
801	51194	12639
802	51259	12575
803	51322	12511
804	51375	12444
805	51433	12379
806	51491	12314
807	51559	12251
808	51622	12187
809	51679	12122
810	51744	12058
811	51809	11995
812	51875	11931
813	51930	11866
814	51992	11801
815	52058	11738
816	52122	11674
817	52186	11611
818	52248	11547
819	52310	11482
820	52369	11417
821	52436	11354
822	52502	11291
823	52570	11228
824	52629	11163
825	52690	11099
826	52764	11037
827	52827	10973
828	52884	10908
829	52941	10843
830	53000	10778
831	53069	10715
832	53151	10655
833	53212	10591
834	53278	10528
835	53350	10465
836	53411	10401
837	53468	10336
838	53525	10271
839	53582	10206
840	53645	10142
841	53708	10078
842	53770	10014
843	53833	9950
844	53902	9887
845	53974	9825
846	54029	9759
847	54102	9697
848	54159	9632
849	54226	9569
850	54294	9506
851	54349	9441
852	54422	9378
853	54492	9316
854	54552	9251
855	54610	9186
856	54668	9122
857	54742	9059
858	54807	8996
859	54867	8931
860	54938	8869
861	55001	8805
862	55064	8741
863	55129	8677
864	55190	8613
865	55262	8550
866	55320	8486
867	55376	8421
868	55438	8357
869	55500	8293
870	55556	8228
871	55619	8164
872	55678	8099
873	55748	8036
874	55805	7972
875	55865	7907
876	55928	7844
877	55984	7779
878	56050	7715
879	56112	7651
880	56175	7587
881	56240	7524
882	56301	7460
883	56373	7397
884	56441	7334
885	56504	7270
886	56571	7207
887	56649	7144
888	56707	7080
889	56767	7016
890	56832	6952
891	56891	6888
892	56958	6824
893	57025	6761
894	57083	6696
895	57144	6632
896	57201	6568
897	57263	6504
898	57324	6440
899	57393	6377
900	57467	6314
901	57523	6249
902	57578	6185
903	57632	6120
904	57694	6056
905	57750	5991
906	57821	5928
907	57885	5865
908	57952	5801
909	58007	5737
910	58067	5672
911	58130	5609
912	58189	5544
913	58243	5480
914	58314	5417
915	58379	5353
916	58434	5289
917	58488	5224
918	58554	5160
919	58615	5097
920	58680	5033
921	58742	4969
922	58809	4906
923	58866	4841
924	58944	4779
925	58998	4714
926	59052	4650
927	59119	4586
928	59173	4522
929	59239	4458
930	59300	4394
931	59366	4331
932	59434	4268
933	59495	4204
934	59555	4140
935	59615	4076
936	59668	4011
937	59732	3948
938	59796	3884
939	59852	3820
940	59920	3756
941	59978	3692
942	60032	3628
943	60090	3564
944	60145	3500
945	60205	3436
946	60260	3372
947	60326	3309
948	60384	3245
949	60445	3181
950	60512	3117
951	60573	3054
952	60644	2990
953	60707	2927
954	60776	2863
955	60840	2800
956	60901	2736
957	60968	2672
958	61033	2609
959	61100	2545
960	61161	2482
961	61235	2418
962	61315	2355
963	61383	2292
964	61452	2228
965	61527	2165
966	61598	2102
967	61652	2038
968	61717	1974
969	61793	1911
970	61868	1847
971	61930	1783
972	62005	1720
973	62072	1656
974	62143	1593
975	62201	1529
976	62263	1465
977	62323	1401
978	62403	1338
979	62470	1274
980	62541	1211
981	62614	1147
982	62680	1083
983	62743	1020
984	62810	956
985	62869	892
986	62926	828
987	62992	765
988	63057	701
989	63115	637
990	63176	573
991	63242	510
992	63297	446
993	63356	382
994	63415	318
995	63473	254
996	63543	191
997	63602	127
998	63667	63
999	63723	0
